,"Item","Description","Type","Cost","Price","Sales Tax Code","Quantity On Hand","Quantity On Sales Order","Reorder Pt (Min)","Quantity On Purchase Order","Preferred Vendor"
,"Storage:M.280-SSD-250GB-PCIe4-TLC-SS","M.280-SSD-250GB-PCIe4-TLC-SS..M.2 2280 250GB PCIe Gen3. X4, NVMe 1.3 64L V-NAND 3-bit MLC Intern...","Inventory Part",98.00,123.00,"Tax",0,0,"",0,"Samsung"
,"Storage:M.280-SSD-256GB-P44-T5WT-TD-601","M.280-SSD-256GB-PCIe44-TLC5WT-TD-601..M.2 SSD 256GB, Key M 2280, TLC, NVMe PCIe Gen 4x4, -40°C~+...","Inventory Part",0.00,0.00,"Tax",2,1,"",0,
,"Storage:M.280-SSD-256GB-PCIe2-TLC-IK","M.280-SSD-256GB-PCIe2-TLC-IK..M.2 SSD 256GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x2, 0°C~+70°C","Inventory Part",88.00,110.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-PCIe2-TLC-PN","M.280-SSD-256GB-PCIe2-TLC-PN..M.2 SSD 256GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x2, 0°C~+70°C","Inventory Part",76.00,95.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-PCIe2-TLCWT-IK","M.280-SSD-256GB-PCIe2-TLCWT-IK..M.2 SSD 256GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x2, -40°C~+85°C","Inventory Part",120.00,150.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-PCIe4-TLC-IK1","M.280-SSD-256GB-PCIe4-TLC-IK1..M.2 SSD 256GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, 0°C~+70°C. ...","Inventory Part",96.00,120.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-PCIe4-TLC-TS","M.280-SSD-256GB-PCIe4-TLC-TS..256GB, M.2 2280, PCIe Gen3x4, M-Key, 3D..TLC, 0°C~+70°C. Industria...","Inventory Part",59.40,75.00,"Tax",1,0,"",0,
,"Storage:M.280-SSD-256GB-PCIe4-TLCWT-IK1","M.280-SSD-256GB-PCIe4-TLCWT-IK1..M.2 SSD 256GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85...","Inventory Part",102.00,128.00,"Tax",13,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-PCIe4-TLCWT-SP","M.280-SSD-256GB-PCIe4-TLCWT-SP..M.2 SSD 256GB, Key M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85°C....","Inventory Part",142.00,178.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-PCIe44-TLC5-PN","M.280-SSD-256GB-PCIe44-TLC5-PN..M.2 SSD 256GB, Key M 2280, TLC, NVMe PCIe Gen 4x4, 0°C~+70°C. In...","Inventory Part",39.00,49.00,"Tax",0,25,"",25,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-PCIe44-TLC5WT-T","*M.280-SSD-256GB-PCIe44-TLC5WT-TD..M.2 SSD 256GB, Key M 2280, TLC, NVMe PCIe Gen 4x4, -40°C~+85°...","Inventory Part",59.00,74.00,"Tax",35,28,"",1,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-SATA-TLC-IK","M.280-SSD-256GB-SATA-TLC-IK..M.2 SSD 256GB, Key B+M 2280, TLC, SATA III, 0°C~+70°C","Inventory Part",102.00,128.00,"Tax",21,160,"",20,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-SATA-TLC5WT-TD","*M.280-SSD-256GB-SATA-TLC5WT-TD..M.2 SSD 256GB, Key B+M 2280, TLC, SATA III, -40°C~+85°C. Indust...","Inventory Part",49.00,61.00,"Tax",2,2,"",10,"Neousys Technology Incorp."
,"Storage:M.280-SSD-256GB-SATA-TLCWT-IK","M.280-SSD-256GB-SATA-TLCWT-IK..M.2 SSD 256GB, Key B+M 2280, TLC, SATA III, -40°C~+85°C.","Inventory Part",116.00,145.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe2-TLC-SS-EVO","M.280-SSD-2TB-PCIe2-TLC-SS-EVO..M.2 2280 2TB PCIe Gen3 x4, NVMe 1.3 64L V-NAND 3-bit MLC Interna...","Inventory Part",178.00,223.00,"Tax",0,0,"",0,"Samsung"
,"Storage:M.280-SSD-2TB-PCIe4-TLC-IK1","M.280-SSD-2TB-PCIe4-TLC-IK1..M.2 SSD 2TB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, 0°C~+70°C. Indu...","Inventory Part",508.00,635.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe4-TLC-IK2","M.280-SSD-2TB-PCIe4-TLC-IK2..M.2 2280 SSD 2TB, 3D TLC, NVMe PCIe Gen 3 x4, 0°C~+70°C. Industrial...","Inventory Part",184.00,230.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe4-TLC-SE","M.280-SSD-2TB-PCIe4-TLC-SE..Seagate FireCuda 520 M.2 2280 2TB PCIe Gen4 x4, NVMe 1.3 3D TLC Inte...","Inventory Part",300.00,375.00,"Tax",0,0,"",0,
,"Storage:M.280-SSD-2TB-PCIe4-TLCWT-IK","M.280-SSD-2TB-PCIe4-TLCWT-IK..M.2 SSD 2TB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85°C. I...","Inventory Part",524.00,655.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe4-TLCWT-IK1","M.280-SSD-2TB-PCIe4-TLCWT-IK1..M.2 SSD 2TB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85°C. ...","Inventory Part",584.00,730.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe4-TLCWT5-IK","M.280-SSD-2TB-PCIe4-TLCWT5-IK..M.2 SSD 2TB, Key B+M 2280, TLC, -40°C~+85°C, BICS5, NVMe PCIe. In...","Inventory Part",195.00,244.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe4_4-TLC-HS-SS","M.280-SSD-2TB-PCIe4_4-TLC-HS-SS..M.2 SSD 2TB, Key M 2280, TLC, NVMe PCIe Gen 4 x 4, 0°C~+70°C,wi...","Inventory Part",265.00,331.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe44-TLC5ET-TD","*M.280-SSD-2TB-PCIe44-TLC5ET-TD..M.2 SSD 2TB, Key M 2280, TLC, NVMe PCIe Gen 4x4, -20°C~+75°C. I...","Inventory Part",231.00,289.00,"Tax",10,102,"",102,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-PCIe44-TLC5WT-TD","*M.280-SSD-2TB-PCIe44-TLC5WT-TD..M.2 SSD 2TB, Key M 2280, TLC, NVMe PCIe Gen 4x4, -40°C~+85°C. I...","Inventory Part",266.00,333.00,"Tax",35,50,"",24,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-SATA-TLC5ET-TD","*M.280-SSD-2TB-SATA-TLC5ET-TD..M.2 SSD 2TB, Key B+M 2280, TLC, SATA III, -20°C~+75°C. Industrial...","Inventory Part",160.00,200.00,"Tax",3,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-2TB-SATA-TLC5WT-TD","*M.280-SSD-2TB-SATA-TLC5WT-TD..M.2 SSD 2TB, Key B+M 2280, TLC, SATA III, -40°C~+85°C. Industrial...","Inventory Part",253.00,316.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-4TB-P44-TLC5-SS-601","M.280-SSD-4TB-PCIe44-TLC5-WD-601..M.2 SSD 4TB, Key M 2280, TLC, NVMe PCIe Gen 4x4, 0°C~+70°C. In...","Inventory Part",0.00,0.00,"Tax",5,0,"",0,
,"Storage:M.280-SSD-4TB-P44-TLC5-WD-601","M.280-SSD-4TB-PCIe44-TLC5-WD-601..M.2 SSD 4TB, Key M 2280, TLC, NVMe PCIe Gen 4x4, 0°C~+85°C. In...","Inventory Part",0.00,0.00,"Tax",2,0,"",0,
,"Storage:M.280-SSD-4TB-PCIe4-TLC-SE","M.280-SSD-4TB-PCIe4-TLC-SE..M.2 2280 4TB PCIe Gen4 x4, NVMe 1.4 3D TLC Internal SSD, 0~+70°C. In...","Inventory Part",690.00,863.00,"Tax",0,0,"",0,
,"Storage:M.280-SSD-4TB-PCIe4-TLCWT5-IK","M.280-SSD-4TB-PCIe4-TLCWT5-IK..M.2 SSD 4TB, Key B+M 2280, TLC, -40°C~+85°C, BICS5, NVMe PCIe Gen...","Inventory Part",618.00,773.00,"Tax",3,3,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-4TB-SATA-TLC5WT-TD","*M.280-SSD-4TB-SATA-TLC5WT-TD..M.2 SSD 4TB, Key B+M 2280, TLC,  SATA III,  -40°C~+85°C. Industri...","Inventory Part",485.00,606.00,"Tax",2,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-500GB-S-TLC5-WD-601","M.280-SSD-500GB-SATA-TLC5-WD-601..M.2 SSD 500GB, Key B+M 2280, TLC, SATA III, 0°C~+70°C. Industr...","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Storage:M.280-SSD-512GB-P44-T5WT-TD-601","M.280-SSD-512GB-PCIe44-TLC5WT-TD-601..M.2 SSD 512GB, Key M 2280, TLC, NVMe PCIe Gen 4x4, -40°C~+...","Inventory Part",0.00,0.00,"Tax",7,0,"",0,
,"Storage:M.280-SSD-512GB-PCIe2-TLC-IK","M.280-SSD-512GB-PCIe2-TLC-IK..M.2 SSD 512GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x2, 0°C~+70°C.","Inventory Part",138.00,173.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe2-TLC-PN","M.280-SSD-512GB-PCIe2-TLC-PN..M.2 SSD 512GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x2, 0°C~+70°C..","Inventory Part",137.00,171.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe2-TLCWT-IK","M.280-SSD-512GB-PCIe2-TLCWT-IK..M.2 SSD 512GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x2, -40°C~+85°C","Inventory Part",171.00,214.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe2-TLCWT-IK1","M.280-SSD-512GB-PCIe2-TLCWT-IK1..M.2 SSD 3TE6 512GB PCIe Gen3x2 Key B+M 2280 3D TLC, -40°C ~ +85°C.","Inventory Part",174.00,218.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe4-TLC-IK1","M.280-SSD-512GB-PCIe4-TLC-IK1..M.2 SSD 512GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, 0°C~+70°C. ...","Inventory Part",162.00,202.00,"Tax",0,24,"",24,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe4-TLCWT-IK","M.280-SSD-512GB-PCIe4-TLCWT-IK..M.2 SSD 512GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85°...","Inventory Part",192.00,239.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe4-TLCWT-IK1","M.280-SSD-512GB-PCIe4-TLCWT-IK1..M.2 SSD 512GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85...","Inventory Part",162.00,203.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe4-TLCWT-SP","M.280-SSD-512GB-PCIe4-TLCWT-SP..M.2 SSD 512GB, Key M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85°C....","Inventory Part",210.00,263.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe44-TLC5-PN","M.280-SSD-512GB-PCIe44-TLC5-PN..M.2 SSD 512GB, Key M 2280, TLC, NVMe PCIe Gen 4x4, 0°C~+70°C. In...","Inventory Part",65.00,81.00,"Tax",11,5,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-PCIe44-TLC5WT-T","*M.280-SSD-512GB-PCIe44-TLC5WT-TD..M.2 SSD 512GB, Key M 2280, TLC, NVMe PCIe Gen 4x4, -40°C~+85°...","Inventory Part",92.00,115.00,"Tax",131,109,"",2,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-S-TLC5ET-TD-601","M.280-SSD-512GB-SATA-TLC5ET-TD-601..M.2 SSD 512GB, Key B+M 2280, TLC, SATA III, -20°C~+75°C. Ind...","Inventory Part",0.00,0.00,"Tax",10,0,"",0,
,"Storage:M.280-SSD-512GB-S-TLC5WT-TD-601","M.280-SSD-512GB-SATA-TLC5WT-TD-601..M.2 SSD 512GB, Key B+M 2280, TLC, SATA III, -40°C~+85°C. Ind...","Inventory Part",0.00,0.00,"Tax",0,0,"",0,
,"Storage:M.280-SSD-512GB-SATA-TLC-IK","M.280-SSD-512GB-SATA-TLC-IK..M.2 SSD 512GB, Key B+M 2280, TLC, SATA III, 0°C~+70°C","Inventory Part",170.00,212.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-SATA-TLC5-PN","M.280-SSD-512GB-SATA-TLC5-PN..M.2 SSD 512GB, Key B+M 2280, TLC, SATA III, 0°C~+70°C.","Inventory Part",59.00,74.00,"Tax",0,50,"",50,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-SATA-TLC5WT-TD","*M.280-SSD-512GB-SATA-TLC5WT-TD..M.2 SSD 512GB, Key B+M 2280, TLC, SATA III, -40°C~+85°C. Indust...","Inventory Part",81.00,101.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-512GB-SATA-TLCWT-IK","M.280-SSD-512GB-SATA-TLCWT-IK..M.2 SSD 512GB, Key B+M 2280, TLC, SATA III, -40°C~+85°C","Inventory Part",228.00,285.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-64GB-PCIe4-TLCWT-IK1","M.280-SSD-64GB-PCIe4-TLCWT-IK1..M.2 SSD 64GB, Key B+M 2280, TLC, NVMe PCIe Gen 3 x4, -40°C~+85°C...","Inventory Part",42.00,57.00,"Tax",6,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-64GB-SATA-TLCWT-IK","M.280-SSD-64GB-SATA-TLCWT-IK..M.2 SSD 64GB, Key B+M 2280, TLC, SATA III, -40°C~+85°C","Inventory Part",37.00,46.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:M.280-SSD-8TB-PCIe4-TLC-PN","M.280-SSD-8TB-PCIe4-TLC-PN..M.2 2280 8TB PCI-Express 3.0 x4, NVMe 1.3 3D NAND Internal SSD. Indu...","Inventory Part",1210.00,1513.00,"Tax",0,0,"",0,
,"Storage:mSATA-128GB-MLC-IK","mSATA-128GB-MLC-IK..mSATA MLC 128GB SSD 0-70°C.","Inventory Part",135.00,169.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-128GB-MLC-PN","mSATA-128GB-MLC-PN..mSATA MLC 128GB SD 0-70°C.","Inventory Part",81.00,101.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-128GB-MLCWT-IK","mSATA-128GB-MLCWT-IK..mSATA MLC 128GB SSD, -40 to 85°C.","Inventory Part",89.00,118.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-128GB-TLC-PN","mSATA-128GB-TLC-PN..mSATA TLC 128GB 0°C-70°C.","Inventory Part",41.00,51.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-1TB-TLC-SG","mSATA 1TB TLC 0°C~+70°C. Pre-installed.","Inventory Part",171.00,228.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-1TB-TLCWT-IK","mSATA-1TB-TLCWT-IK..mSATA TLC 1TB SSD, -40 ~ 85°C.","Inventory Part",297.00,371.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-256GB-MLC-IK","mSATA-256GB-MLC-IK..mSATA MLC 256GB SSD, 0°C~+70°C","Inventory Part",231.00,289.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-256GB-MLC-PN","[Use New P/N# mSATA-256GB-MLC-IK]..mSATA MLC 256GB SSD, 0-70°C.","Inventory Part",140.00,186.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-256GB-TLC-PN","mSATA-256GB-TLC-PN..mSATA 256GB SSD, TLC, 0°C-70°C.","Inventory Part",65.00,81.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-32GB-MLC-PN","mSATA-32GB-MLC-PN..mSATA MLC 32GB SSD, 0-70°C.","Inventory Part",31.00,41.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-32GB-MLCWT-IK","mSATA-32GB-MLCWT-IK..mSATA MLC 32GB SSD, -40 to 85°C.","Inventory Part",60.00,75.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-512GB-MLC-IK","mSATA-512GB-MLC-IK..mSATA MLC 512GB SSD, 0°C~+70°C","Inventory Part",454.00,567.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-512GB-TLC-IK","mSATA-512GB-TLC-IK..mSATA SSD 512GB, TLC, 0°C-70°C.","Inventory Part",124.00,155.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-512GB-TLC-PN","[Use New P/N mSATA-512GB-TLC-IK]..mSATA-512GB-TLC-PN..mSATA SSD 512GB, TLC, 0°C-70°C.","Inventory Part",109.00,136.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-512GB-TLCWT-IK","mSATA-512GB-TLCWT-IK..mSATA TLC 512GB SSD, -40 to 85°C.","Inventory Part",156.00,195.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-64GB-MLC-IK","mSATA-64GB-MLC-IK..mSATA MLC 64GB SSD, 0-70°C.","Inventory Part",84.00,105.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-64GB-MLC-PN","mSATA-64GB-MLC-PN..mSATA MLC 64GB SSD, 0-70°C.","Inventory Part",49.00,61.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-64GB-MLCWT-IK","*mSATA-64GB-MLCWT-IK..mSATA MLC 64GB SSD, -40 to 85°C.","Inventory Part",65.00,81.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATA-64GB-TLC-PN","mSATA-64GB-TLC-PN..mSATA TLC 64GB, 0°C-70°C.","Inventory Part",26.00,32.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-128GB-MLC-IK","mSATAHS-128GB-MLC-IK..mSATA MLC 128GB SSD, Half Size, 0 ~ 70°C","Inventory Part",109.00,136.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-128GB-MLC-IK1","*mSATAHS-128GB-MLC-IK1..mSATA MLC 128GB SSD, Half Size, 0 ~ 70°C","Inventory Part",115.00,144.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-128GB-MLC-PN","[Use New AP/MN# mSATAHS-128GB-MLC-IK]..mSATA MLC 128GB SSD, Half Size, 0-70°C.","Inventory Part",82.00,103.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-128GB-MLCWT-IK","mSATAHS-128GB-MLCWT-IK..mSATA MLC 128GB SSD, Half Size, -40 to 85°C","Inventory Part",125.00,126.00,"Tax",1,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-128GB-TLC-PN","mSATAHS-128GB-TLC-PN..mSATA TLC SSD Half Size 128GB, 0°C-70°C.","Inventory Part",38.00,48.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-256GB-TLC-IK","mSATAHS-256GB-TLC-IK..mSATA Half Size 256GB TLC 0°C~+70°C","Inventory Part",91.00,114.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-256GB-TLC-PN","[Use New P/N# mSATAHS-256GB-TLC-IK]..mSATA TLC Half Size SSD 256GB, 0°C-70°C.","Inventory Part",74.00,92.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-256GB-TLCWT-IK","mSATAHS-256GB-TLCWT-IK..mSATA mini SSD, TLC, 256GB, -40~85°C.","Inventory Part",81.00,101.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-32GB-MLC-IK","mSATAHS-32GB-MLC-IK..mSATA MLC 32GB SSD, Half Size, 0 ~ 70°C","Inventory Part",50.00,62.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-32GB-MLC-PN","mSATAHS-32GB-MLC-PN..mSATA MLC 32GB SSD, Half Size, 0-70°C.","Inventory Part",29.00,38.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-64GB-MLC-IK","*mSATAHS-64GB-MLC-IK..mSATA MLC 64GB SSD, Half Size, 0 ~ 70°C","Inventory Part",70.00,88.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-64GB-MLC-PN","mSATAHS-64GB-MLC-PN..mSATA MLC 64GB SSD, Half Size, 0-70°C.","Inventory Part",45.00,56.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAHS-64GB-MLCWT-IK","mSATAHS-64GB-MLCWT-IK..mSATA MLC 64GB SSD, Half Size, 3ME4, -40 ~ 85°C.","Inventory Part",79.00,99.00,"Tax",48,125,"",100,"Neousys Technology Incorp."
,"Storage:mSATAHS-64GB-TLC-PN","mSATAHS-64GB-TLC-PN..mSATA TLC Half Size 64GB, 0°C-70°C.","Inventory Part",29.00,36.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC128GB","[Use New AP/MN# mSATA-128GB-MLC-PN] 128 KGB Mata ML SD","Inventory Part",76.00,101.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC128GB-HS","[Use New AP/MN# mSATAHS-128GB-MLC-PN]..128 KGB Mata ML SD, Half Size","Inventory Part",61.00,81.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC128GB-WT","128 GB mSATA SSD, MLC. Operating temperature : -40 ~ 85C","Inventory Part",89.00,118.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC256GB","[Use New P/N# mSATA-256GB-MLC-PN]..mSATA MLC 256GB SSD, 0 ~ 70°C","Inventory Part",140.00,186.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC256GB-HS","[Use New AP/MN# mSATAHS-256GB-TLC-PN]..256 KGB Mata ML SD, Half Size","Inventory Part",123.00,164.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC32GB-WT","[Use New P/N# mSATA-32GB-MLCWT-IK]..32 GB mSATA SSD, MLC. Operating temperature : -40 ~ 85C.","Inventory Part",31.00,41.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC64GB","[Use New AP/MN# mSATA-64GB-MLC-PN]..64GB Mata ML SD","Inventory Part",41.00,55.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:mSATAMLC64GB-HS","[Use New AP/MN# mSATAHS-64GB-MLC-PN]..64 KGB Mata ML SD, Half Size","Inventory Part",42.00,56.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:MSD-128GB-SK","MSD-128GB-SK..SanDisk 128GB Ultra microSDXC A1 UHS-I/U1 Class 10 Memory Card with Adapter, Speed...","Inventory Part",22.32,28.00,"Tax",0,0,"",0,
,"Storage:MSD-128GB-TLC-IK","MSD-128GB-TLC-IK..MicroSD 128GB 3TE4 (3.0) Industrial -25°C~ +85°C","Inventory Part",25.60,32.00,"Tax",0,0,"",0,
,"Storage:MSD-32GB-SK","MSD-32GB-SK..SanDisk 32GB Ultra UHS-I microSDHC Memory Card","Inventory Part",8.00,10.00,"Tax",0,0,"",0,
,"Storage:MSD-8GB-MLCWT-PN","MSD-8GB-MLCWT-PN..Micro SD 8GB MLC -25°C~+85°C","Inventory Part",9.00,11.00,"Tax",10,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-128GB-MLC-IK","*SSD-128GB-MLC-IK..2.5"" MLC 128GB SSD, 0-70°C.","Inventory Part",140.00,175.00,"Tax",7,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-128GB-MLC-PN","SSD-128GB-MLC-PN..2.5"" MLC 128GB SSD, 0-70°C.","Inventory Part",86.00,107.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-128GB-MLCWT-IK","SSD-128GB-MLCWT-IK..2.5"" MLC 128GB SSD, -40 to 85°C.","Inventory Part",118.00,147.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-128GB-TLC-IK","SSD-128GB-TLC-IK..2.5"" SATA SSD 128GB TLC 0°C~+70°C.","Inventory Part",63.00,79.00,"Tax",4,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-128GB-TLC-PN","SSD-128GB-TLC-PN..2.5"" SATA SSD 128GB, TLC, 0°C-70°C.","Inventory Part",41.00,51.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-128GB-TLC5WT-TD","*SSD-128GB-TLC5WT-TD..2.5"" SATA SSD 128GB TLCWT, -40°C~+85°C. Industrial computer accessory.","Inventory Part",35.00,44.00,"Tax",2,0,"",2,"Neousys Technology Incorp."
,"Storage:SSD-128GB-TLCWT-IK","SSD-128GB-TLCWT-IK..2.5"" TLC 128GB SSD, -40 to 85°C.","Inventory Part",61.00,69.00,"Tax",2,2,"",0,"Neousys Technology Incorp."
,"Storage:SSD-1920GB-TLC-IL","SSD-1920GB-TLC-IL..2.5"" SATA SSD 1920GB TLC 0°C~+70°C.","Inventory Part",400.00,500.00,"Tax",1,0,"",0,"Newegg.com"
,"Storage:SSD-1920GB-TLC-IL1","SSD-1920GB-TLC-IL1..2.5"" SATA SSD 1920GB TLC 0°C~+70°C.","Inventory Part",400.00,500.00,"Tax",20,62,"",0,"Newegg.com"
,"Storage:SSD-1TB","[Use New P/N# HDD-1TB-72-HT] ..HDD-1TB-72-HT..2.5"" HDD 1TB 7200RPM","Inventory Part",90.00,120.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-1TB-MLC-IK","SSD-1TB-MLC-IK..2.5"" SATA SSD 1TB MLC, 0°C~+70°C","Inventory Part",664.00,830.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
,"Storage:SSD-1TB-MLC-PN","SSD-1TB-MLC-PN..2.5"" MLC 1TB SSD, 0-70°C.","Inventory Part",529.00,705.00,"Tax",0,0,"",0,"Neousys Technology Incorp."
